req_id,citizen_id,utility_id,category,description,status,priority,created_at,updated_at,resolved_at
1,3,12,Drain Issue,Citizen requesting drain issue for Patiala area.,Rejected,Normal,2024-11-10 21:00:00,2024-11-14 21:00:00,2024-11-15 21:00:00
2,5,11,Illegal Dumping,Citizen requesting illegal dumping for Mansa area.,Resolved,Normal,2024-09-20 07:00:00,2024-09-30 07:00:00,2024-10-02 07:00:00
3,2,3,Power Outage,Citizen requesting power outage for Jalandhar area.,Resolved,Critical,2025-02-04 22:00:00,2025-02-04 22:00:00,2025-02-06 22:00:00
4,5,4,New Connection,Citizen requesting new connection for Mansa area.,Resolved,Normal,2024-07-04 20:00:00,2024-07-13 20:00:00,2024-07-14 20:00:00
5,39,3,Power Outage,Citizen requesting power outage for Gurdaspur area.,Resolved,Normal,2024-07-09 22:00:00,2024-07-10 22:00:00,2024-07-15 22:00:00
6,9,9,Water Quality,Citizen requesting water quality for Gurdaspur area.,In Progress,Normal,2024-11-28 16:00:00,2024-12-01 16:00:00,
7,8,1,New Connection,Citizen requesting new connection for Faridkot area.,Resolved,Normal,2024-09-22 20:00:00,2024-09-30 20:00:00,2024-10-01 20:00:00
8,17,13,General Query,Citizen requesting general query for Hoshiarpur area.,Pending,Normal,2024-04-20 03:00:00,2024-04-24 03:00:00,
9,45,15,Subsidy,Citizen requesting subsidy for Mansa area.,Escalated,Normal,2024-03-03 12:00:00,2024-03-04 12:00:00,
10,29,3,Power Outage,Citizen requesting power outage for Bathinda area.,Rejected,Normal,2024-02-15 05:00:00,2024-02-20 05:00:00,2024-02-23 05:00:00
11,46,2,Billing Dispute,Citizen requesting billing dispute for Mohali area.,In Progress,Normal,2024-06-02 13:00:00,2024-06-12 13:00:00,
12,12,13,General Query,Citizen requesting general query for Bathinda area.,In Progress,Normal,2024-03-03 14:00:00,2024-03-05 14:00:00,
13,16,13,General Query,Citizen requesting general query for Mansa area.,In Progress,Normal,2024-10-11 02:00:00,2024-10-16 02:00:00,
14,30,13,General Query,Citizen requesting general query for Hoshiarpur area.,Escalated,Normal,2024-11-09 10:00:00,2024-11-10 10:00:00,
15,20,7,New Connection,Citizen requesting new connection for Amritsar area.,Escalated,Critical,2024-09-03 00:00:00,2024-09-09 00:00:00,
16,50,7,New Connection,Citizen requesting new connection for Bathinda area.,Resolved,Low,2024-03-05 18:00:00,2024-03-15 18:00:00,2024-03-16 18:00:00
17,29,8,Low Pressure,Citizen requesting low pressure for Bathinda area.,Resolved,Normal,2024-03-07 01:00:00,2024-03-17 01:00:00,2024-03-22 01:00:00
18,12,13,General Query,Citizen requesting general query for Bathinda area.,Escalated,Normal,2024-09-14 09:00:00,2024-09-15 09:00:00,
19,34,3,Power Outage,Citizen requesting power outage for Hoshiarpur area.,In Progress,Normal,2024-06-15 06:00:00,2024-06-18 06:00:00,
20,23,9,Water Quality,Citizen requesting water quality for Mansa area.,Rejected,Low,2024-05-08 14:00:00,2024-05-18 14:00:00,2024-05-23 14:00:00
21,18,3,Power Outage,Citizen requesting power outage for Mansa area.,Resolved,High,2024-09-30 10:00:00,2024-10-08 10:00:00,2024-10-10 10:00:00
22,38,10,Missed Collection,Citizen requesting missed collection for Hoshiarpur area.,Pending,Critical,2024-11-16 07:00:00,2024-11-25 07:00:00,
23,22,14,Document Check,Citizen requesting document check for Jalandhar area.,Rejected,Low,2024-01-15 10:00:00,2024-01-15 10:00:00,2024-01-20 10:00:00
24,17,11,Illegal Dumping,Citizen requesting illegal dumping for Hoshiarpur area.,Pending,High,2024-08-02 03:00:00,2024-08-12 03:00:00,
25,2,8,Low Pressure,Citizen requesting low pressure for Jalandhar area.,Rejected,High,2024-05-29 04:00:00,2024-06-02 04:00:00,2024-06-06 04:00:00
26,16,13,General Query,Citizen requesting general query for Mansa area.,Resolved,Normal,2024-06-01 22:00:00,2024-06-02 22:00:00,2024-06-03 22:00:00
27,11,8,Low Pressure,Citizen requesting low pressure for Amritsar area.,In Progress,Normal,2024-04-14 18:00:00,2024-04-23 18:00:00,
28,10,6,Billing Dispute,Citizen requesting billing dispute for Mansa area.,Rejected,Normal,2025-01-10 19:00:00,2025-01-16 19:00:00,2025-01-18 19:00:00
29,49,6,Billing Dispute,Citizen requesting billing dispute for Faridkot area.,In Progress,Low,2024-06-12 15:00:00,2024-06-19 15:00:00,
30,8,5,Emergency,Citizen requesting emergency for Faridkot area.,In Progress,Normal,2024-02-19 09:00:00,2024-02-23 09:00:00,
31,25,14,Document Check,Citizen requesting document check for Bathinda area.,Resolved,Normal,2024-03-22 18:00:00,2024-03-31 18:00:00,2024-04-03 18:00:00
32,13,13,General Query,Citizen requesting general query for Mohali area.,Pending,High,2024-08-27 23:00:00,2024-08-31 23:00:00,
33,32,1,New Connection,Citizen requesting new connection for Gurdaspur area.,Pending,Normal,2024-09-15 22:00:00,2024-09-18 22:00:00,
