utility_id,utility_type,description,dept_id,sla_days
1,New Electricity Connection,Apply for a new domestic connection,1,10
2,Electricity Bill Dispute,Dispute on billed amount,1,7
3,Power Outage Complaint,Report prolonged power cut,1,3
4,New Gas Connection,Apply for piped/cylinder connection,2,14
5,Gas Leak Report,Report gas leakage emergency,2,1
6,Gas Bill Correction,Incorrect billing for gas,2,7
7,New Water Connection,Apply for new water supply line,3,14
8,Low Water Pressure,Complaint on low or no supply,3,5
9,Water Quality Issue,Dirty/contaminated water complaint,3,3
10,Garbage Collection Missed,Missed garbage pickup complaint,4,2
11,Illegal Dumping Report,Report illegal waste dumping,4,5
12,Drain Blockage,Blocked drain or sewer,4,4
13,General Inquiry,Any general government inquiry,5,7
14,Document Verification,Verify government-issued documents,5,10
15,Subsidy Application,Apply for eligible subsidies,5,21
