complaint_id,citizen_id,dept_id,description,status,priority,created_at,updated_at,resolved_at
1,53,1,Electricity bill is too high compared to actual usage.,Under Review,Critical,2024-04-28 10:00:00,2024-04-30 10:00:00,
2,1,2,Street light near our house is not working.,Under Review,Low,2024-11-13 04:00:00,2024-11-23 04:00:00,
3,60,5,Meter reading officer gave incorrect reading.,Resolved,Low,2024-01-05 01:00:00,2024-01-13 01:00:00,2024-01-17 01:00:00
4,1,1,Street light near our house is not working.,Resolved,High,2024-05-26 08:00:00,2024-06-03 08:00:00,2024-06-10 08:00:00
5,45,4,Water supply is contaminated and smells bad.,Open,Low,2024-09-25 12:00:00,2024-09-28 12:00:00,
6,13,5,Street light near our house is not working.,Open,Normal,2024-05-16 20:00:00,2024-05-17 20:00:00,
7,24,4,Meter reading officer gave incorrect reading.,Resolved,Critical,2024-04-25 17:00:00,2024-05-05 17:00:00,2024-05-12 17:00:00
8,55,1,Electricity bill is too high compared to actual usage.,Open,Normal,2024-07-13 01:00:00,2024-07-20 01:00:00,
9,4,1,Water supply is contaminated and smells bad.,Open,Normal,2024-11-26 18:00:00,2024-12-05 18:00:00,
10,55,1,Street light near our house is not working.,Escalated,Normal,2024-04-19 06:00:00,2024-04-28 06:00:00,
11,31,3,Electricity bill is too high compared to actual usage.,Escalated,Critical,2024-05-24 01:00:00,2024-06-02 01:00:00,
12,43,1,Water supply is contaminated and smells bad.,Escalated,Normal,2024-01-09 14:00:00,2024-01-18 14:00:00,
13,10,4,No power supply for the last 3 days in our locality.,Open,High,2024-05-04 02:00:00,2024-05-10 02:00:00,
14,44,5,Drain in front of house is blocked causing overflow.,Under Review,Critical,2024-03-13 06:00:00,2024-03-14 06:00:00,
15,33,3,Electricity bill is too high compared to actual usage.,Open,Normal,2024-02-08 18:00:00,2024-02-17 18:00:00,
16,50,5,Water meter is damaged and showing wrong reading.,Under Review,Normal,2024-01-17 04:00:00,2024-01-21 04:00:00,
17,51,4,Meter reading officer gave incorrect reading.,Open,High,2024-07-11 21:00:00,2024-07-13 21:00:00,
